company_id,ticker,CFO,CFF_proxy,latest_net_profit
11,AXISBANK,-5555.0,143264.0,24861.0
13,BAJAJFINSV,-68674.0,76668.0,15595.0
15,BAJFINANCE,-72760.0,76656.0,14451.0
16,BANKBARODA,-6274.0,111169.0,18869.0
19,BHEL,-3713.0,3402.0,282.0
24,CHOLAFIN,-35683.0,60585.0,3420.0
35,GRASIM,-10719.0,34116.0,9926.0
48,INDUSINDBK,-16843.0,46955.0,8950.0
63,M&M,-5630.0,16400.0,12270.0
71,PFC,-97820.0,110803.0,26461.0
73,PNB,-27939.0,1396.0,9157.0
75,RECLTD,-57723.0,64778.0,14145.0
80,SHRIRAMFIN,-31101.0,43618.0,7399.0
92,TVSMOTOR,-1253.0,3630.0,1779.0
