KPI,Mean,Std,P10,P25,P50,P75,P90
company_id,45.85576923076923,27.862498117438907,7.300000000000001,20.75,46.5,72.25,82.7
roe,114.34235294117643,602.1215621354779,8.567,12.7275,17.005000000000003,27.54,53.829000000000015
pe,44.0301923076923,20.14793506395381,16.82,29.5025,46.33,59.089999999999996,70.813
pb,7.404903846153847,3.6377889890053754,2.41,4.3925,7.43,10.2325,12.328
ev_ebitda,23.933557692307694,8.552843950822716,12.077,16.72,23.94,31.0825,34.554
de,1.6736343137254905,2.750760522937881,0.01703,0.066,0.48315,1.650175,6.261350000000009
opm,35.26494949494949,27.418545949543333,9.82,16.740000000000002,25.83,48.385,84.46200000000002
npm,19.875588235294117,43.03486644394953,4.619000000000001,7.467500000000001,14.21,20.53,30.34
revenue_cagr_5yr,11.661933754663888,7.50482978867195,4.065012569138093,6.635531009947249,10.592433818985914,15.782778940624208,20.957629337974137
pat_cagr_5yr,19.492931183952162,20.79600557787448,3.986781387144119,8.75885858017449,15.316887061047968,23.363417251672082,37.02111721610508
